,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
2914,Mahindra,TUV300T8,588699,2016,Kolkata,Petrol,27011,Manual,2,5174
2915,Toyota,Innova Crysta2.4 ZX 7 STR,403699,2016,Kolkata,Petrol,81832,Manual,1,7857
2916,Mahindra,TharCRDE 4X4 BS IV,922599,2017,Kolkata,Petrol,50249,Manual,1,8066
2917,Volkswagen,AmeoHIGHLINE 1.5L AT (D),868999,2016,Kolkata,Petrol,4113,Automatic,1,8431
2918,Volkswagen,AmeoCOMFORTLINE 1.2,451799,2017,Kolkata,Petrol,7198,Manual,1,8237
2919,Maruti,ErtigaVDI SHVS,904599,2016,Kolkata,Petrol,20306,Manual,2,8964
2920,Renault,KwidRXT,534399,2015,Kolkata,Petrol,1584,Manual,1,7806
2921,Renault,Lodgy110 PS RXZ 8 STR,1040699,2015,Kolkata,Petrol,24906,Manual,1,9636
2922,Toyota,Innova Crysta2.4 ZX 7 STR,1060799,2016,Kolkata,Petrol,23545,Manual,1,8798
2923,Ford,,710999,2018,Kolkata,Petrol,28718,,1,6191
2924,Ford,,865599,2018,Kolkata,Petrol,6207,,1,8860
2925,Maruti,ErtigaZDI PLUS SHVS,991799,2016,Kolkata,Petrol,55280,Manual,1,6235
2926,Honda,BR-V1.5 i-VTEC S,678099,2017,Kolkata,Petrol,40883,Manual,1,5414
2927,Maruti,CiazZETA 1.4 VVT AMT,438699,2018,Kolkata,Petrol,4329,Automatic,1,5792
2928,Hyundai,Elite i20SPORTZ 1.2,650399,2016,Kolkata,Petrol,42467,Manual,1,5557
2929,Hyundai,i20 Active1.2 S,404999,2015,Kolkata,Petrol,22237,Manual,1,5824
2930,KIA,,689399,2020,Kolkata,Petrol,25652,,1,5594
2931,Honda,WR-V1.5 i-DTEC VX MT,474699,2017,Kolkata,Petrol,13370,Manual,1,5824
2932,Maruti,XL6ZETA SHVS,512499,2020,Kolkata,Petrol,11695,Manual,1,6591
2933,Hyundai,Creta1.6 SX PLUS VTVT,947999,2016,Kolkata,Petrol,26485,Manual,2,9892
2934,Hyundai,Creta1.6 SX PLUS VTVT,494299,2016,Kolkata,Petrol,23793,Manual,1,6057
2935,Mahindra,XyloH8 ABS AIRBAG BS IV,2048699,2017,Kolkata,Petrol,2103,Manual,1,6237
2936,Hyundai,Elite i20SPORTZ 1.2,504599,2016,Kolkata,Petrol,15753,Manual,1,5677
2937,Mahindra,TUV300T6+,271999,2018,Kolkata,Petrol,7558,Manual,1,6237
2938,Audi,Q335 TDI Quattro,454699,2015,Kolkata,Petrol,2595,Automatic,1,8253
2939,Maruti,BalenoALPHA 1.2 K12,455199,2016,Kolkata,Petrol,7646,Manual,1,7532
2940,Maruti,XL6ZETA SHVS,576999,2019,Kolkata,Petrol,16909,Manual,1,6458
2941,Hyundai,Elite i20ASTA 1.2,283599,2016,Kolkata,Diesel,53662,Manual,2,20138
2942,Honda,CityS MT PETROL,458399,2011,Kolkata,Petrol,5017,Manual,1,7236
2943,Hyundai,GRAND I10 NIOSSPORTZ PETROL,288299,2020,Pune,Diesel,69163,Manual,1,8700
2944,Honda,CityV MT PETROL,541999,2016,Pune,Petrol,38942,Manual,2,8671
2945,Hyundai,Elite i20MAGNA 1.2,528199,2015,Pune,Diesel,46332,Manual,1,10086
2946,Maruti,Vitara BrezzaLDI OPT,535799,2016,Pune,Petrol,49652,Manual,1,8039
2947,Maruti,S CrossZETA 1.3,400599,2015,Pune,Petrol,19543,Manual,1,15500
2948,Volkswagen,VentoHIGHLINE TDI AT,613999,2015,Pune,Petrol,547,Automatic,1,19586
2949,Renault,TRIBER1.0 RXL PETROL,487099,2021,Pune,Diesel,163778,Manual,2,5786
2950,Hyundai,GRAND I10 NIOSMAGNA 1.2 AT,492099,2020,Pune,Diesel,49341,Automatic,1,12090
2951,Hyundai,GRAND I10 NIOS1.2 Kappa Sports MT,838699,2020,Pune,Diesel,70317,Manual,2,15037
2952,Maruti,Vitara BrezzaZDI PLUS DUAL TONE,916099,2017,Pune,Diesel,68713,Manual,3,5223
2953,Mahindra,XUV500W8 FWD,479399,2015,Pune,Petrol,106730,Manual,2,7112
2954,Hyundai,Elite i20SPORTZ 1.2,466599,2016,Pune,Petrol,64894,Manual,1,9403
2955,Jeep,Compass2.0 LIMITED,417899,2017,Pune,Petrol,30593,Manual,1,9848
2956,Ford,Figo Aspire1.2 TITANIUM PETROL,356799,2018,Pune,Petrol,88342,Manual,2,10684
2957,Honda,Amaze1.2 SX MT I VTEC,484199,2015,Pune,Diesel,97261,Manual,2,14494
2958,Volkswagen,PoloGT TSI 1.2 PETROL AT,279799,2016,Pune,Petrol,44940,Automatic,4,8916
2959,Maruti,DzireZDI Plus AMT,477899,2017,Pune,Petrol,37573,Automatic,1,6386
2960,Hyundai,Elite i20ASTA 1.4 CRDI,521399,2016,Pune,Petrol,30483,Manual,1,11162
